Time,Signal
0,1.748562698
0.02,1.581223979
0.04,1.799770644
0.06,1.705787479
0.08,1.754904627
0.1,1.661397373
0.12,1.747381978
0.14,1.680120221
0.16,1.754447363
0.18,1.672206636
0.2,1.761209217
0.22,1.686054327
0.24,1.763866121
0.26,1.741876361
0.28,1.920768724
0.3,1.728992962
0.32,1.772128473
0.34,1.654416332
0.36,1.868472386
0.38,1.599908775
0.4,2.528293861
0.42,2.494696354
0.44,1.449693676
0.46,1.791538823
0.48,1.669189092
0.5,1.809683757
0.52,1.747432143
0.54,1.85731072
0.56,1.822415107
0.58,1.924242509
0.6,1.947279828
0.62,2.105737195
0.64,2.121245247
0.66,2.156266466
0.68,2.007389091
0.7,1.875194476
0.72,1.787985507
0.74,1.822893575
0.76,1.845863516
0.78,1.881748816
0.8,1.887021971
0.82,1.923017258
0.84,1.9330411
0.86,1.939952529
0.88,1.95104829
0.9,1.97356139
0.92,1.984718994
0.94,2.03309602
0.96,2.032629996
0.98,2.093814179
1,2.09184633
1.02,2.142558915
1.04,2.122743347
1.06,2.174516299
1.08,2.180507455
1.1,2.30955657
1.12,2.271162533
1.14,2.173797247
1.16,2.147881411
1.18,2.159695271
1.2,2.134627568
1.22,2.282612686
1.24,3.160012987
1.26,2.063553566
1.28,1.946666168
1.3,2.055871701
1.32,2.035019371
1.34,2.018677749
1.36,2.003005007
1.38,2.014260054
1.4,1.977882766
1.42,2.020956794
1.44,2.021169404
1.46,2.07750808
1.48,2.061043553
1.5,1.989854821
1.52,1.704729944
1.54,1.571031079
1.56,1.473675232
1.58,1.458757732
1.6,1.415384525
1.62,1.416586331
1.64,1.366847836
1.66,1.355477183
1.68,1.275269807
1.7,1.309233301
1.72,1.262697197
1.74,1.266999614
1.76,1.213486208
1.78,1.243461996
1.8,1.22121732
1.82,1.251553666
1.84,1.222974681
1.86,1.263106847
1.88,1.234479703
1.9,1.291299829
1.92,1.302540346
1.94,1.439851175
1.96,1.275042699
1.98,1.331955873
2,1.237168519
2.02,1.416513538
2.04,1.176321111
2.06,2.116963447
2.08,2.118461703
2.1,1.145840939
2.12,1.518081837
2.14,1.357339741
2.16,1.523070108
2.18,1.437131025
2.2,1.582274856
2.22,1.535640662
2.24,1.656764199
2.26,1.673338738
2.28,1.854856868
2.3,1.864686933
2.32,1.955219334
2.34,1.774041489
2.36,1.657900921
2.38,1.551333832
2.4,1.572264612
2.42,1.549834153
2.44,1.619514088
2.46,1.601351832
2.48,1.649981505
2.5,1.619099956
2.52,1.64807404
2.54,1.639499433
2.56,1.685949152
2.58,1.676255061
2.6,1.713147324
2.62,1.6985205
2.64,1.734462736
2.66,1.716178381
2.68,1.752102238
2.7,1.715888066
2.72,1.849982736
2.74,1.858884452
2.76,1.768735127
2.78,1.75520084
2.8,1.770587144
2.82,1.765892807
2.84,1.873279164
2.86,2.895640825
2.88,1.8903297
2.9,1.68636986
2.92,1.87664884
2.94,1.829936135
2.96,1.908855998
2.98,1.895179166
3,1.985734677
3.02,1.969937143
3.04,2.047683095
3.06,2.120752299
3.08,2.232128636
3.1,2.240336348
3.12,2.23877165
3.14,1.985578244
3.16,1.876770767
3.18,1.807416465
3.2,1.851367045
3.22,1.794059075
3.24,1.854816254
3.26,1.803646986
3.28,1.840553287
3.3,1.781242623
3.32,1.825028169
3.34,1.80306796
3.36,1.838063455
3.38,1.769393334
3.4,1.84999651
3.42,1.760619962
3.44,1.79055376
3.46,1.734633774
3.48,1.813749472
3.5,1.806223887
3.52,1.954018808
3.54,1.766193542
3.56,1.814989034
3.58,1.670467938
3.6,1.894381365
3.62,1.608973876
3.64,2.650573533
3.66,2.402157316
3.68,1.482118901
3.7,1.83522149
3.72,1.716243808
3.74,1.860356012
3.76,1.771979536
3.78,1.886849736
3.8,1.851277926
3.82,1.9247075
3.84,1.972116259
3.86,2.080018425
3.88,2.110263414
3.9,2.124321156
3.92,1.959416097
3.94,1.784323376
3.96,1.684467265
3.98,1.69321101
4,1.716154147
4.02,1.720623547
4.04,1.753351269
4.06,1.713446954
4.08,1.724881685
4.1,1.711286654
4.12,1.728013873
4.14,1.692309611
4.16,1.698117682
4.18,1.6834956
4.2,1.724065811
4.22,1.713875077
4.24,1.768176229
4.26,1.727488895
4.28,1.767138042
4.3,1.804556066
4.32,1.90557961
4.34,1.736600658
4.36,1.773696303
4.38,1.680290216
4.4,1.836371929
4.42,1.622472304
4.44,2.673163578
4.46,2.327336358
4.48,1.470333094
4.5,1.826779524
4.52,1.717090506
4.54,1.863415005
4.56,1.791565294
4.58,1.888816642
4.6,1.861287614
4.62,1.972430295
4.64,1.990475956
4.66,2.139682883
4.68,2.114377781
4.7,2.153465037
4.72,1.927180994
4.74,1.793256957
4.76,1.719418062
4.78,1.726047117
4.8,1.718949261
4.82,1.755186302
4.84,1.751286678
4.86,1.780483189
4.88,1.743450293
4.9,1.75500023
4.92,1.735036594
4.94,1.758288291
4.96,1.736856455
4.98,1.766539432
5,1.759952013
5.02,1.776194115
5.04,1.754288006
5.06,1.790057007
5.08,1.780901702
5.1,1.889184975
5.12,1.88443422
5.14,1.785152955
5.16,1.762375386
5.18,1.766723102
5.2,1.776966361
5.22,1.868748769
5.24,2.865479454
5.26,1.834147538
5.28,1.65509772
5.3,1.845228121
5.32,1.805969592
5.34,1.886912422
5.36,1.872868669
5.38,1.933007912
5.4,1.941504486
5.42,2.023660823
5.44,2.074552006
5.46,2.171737135
5.48,2.184000369
5.5,2.161345318
5.52,1.95032082
5.54,1.838568745
5.56,1.813502809
5.58,1.822735408
5.6,1.813569906
5.62,1.828765553
5.64,1.809157154
5.66,1.821016706
5.68,1.793252187
5.7,1.800555415
5.72,1.750563153
5.74,1.786258631
5.76,1.767987449
5.78,1.786524164
5.8,1.757009084
5.82,1.805758447
5.84,1.826329817
5.86,1.931200801
5.88,1.726606147
5.9,1.790565365
5.92,1.666858211
5.94,1.83604745
5.96,1.606335537
5.98,2.726314698
6,2.207322779
6.02,1.466142526
